,Background,Meadow,Soft Winter Wheat,Corn,Winter Barley,Winter Rapeseed,Spring Barley,Sunflower,Winter Triticale,Winter Durum Wheat,Fruits/Vegetables/Flowers,Leguminous Fodder,Soybeans,Mixed Cereal,Sorghum
Background,67262,21526,1566,3140,461,1089,0,0,4,0,0,42,1833,0,1
Meadow,8399,43253,953,789,206,178,0,0,0,0,0,374,207,0,0
Soft Winter Wheat,2788,1852,24538,2493,1477,390,0,0,480,0,0,0,1370,0,0
Corn,2413,1763,2187,22049,403,399,0,0,96,0,0,144,2071,0,0
Winter Barley,1003,423,2506,274,6454,203,0,0,0,0,0,0,917,0,0
Winter Rapeseed,450,529,167,83,419,15567,0,0,0,0,0,0,113,0,0
Spring Barley,74,0,79,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower,370,18,24,426,43,370,0,76,0,0,0,0,1524,0,0
Winter Triticale,230,3,585,611,47,0,0,0,0,0,0,0,136,0,0
Winter Durum Wheat,20,1,253,19,0,0,0,0,0,0,0,0,13,0,0
Fruits/Vegetables/Flowers,379,1358,20,115,129,209,0,0,0,0,0,0,433,0,0
Leguminous Fodder,181,1054,43,135,0,0,0,0,0,0,0,0,365,0,0
Soybeans,1071,181,36,1775,31,143,0,0,0,0,0,0,10591,0,0
Mixed Cereal,27,25,9,159,0,5,0,0,0,0,0,0,449,0,0
Sorghum,70,518,0,62,15,0,0,0,0,0,0,0,0,0,0
