,Background,Meadow,Soft Winter Wheat,Corn,Winter Barley,Winter Rapeseed,Spring Barley,Sunflower,Winter Triticale,Winter Durum Wheat,Fruits/Vegetables/Flowers,Leguminous Fodder,Soybeans,Mixed Cereal,Sorghum
Background,80408,9313,2587,2636,101,1052,0,0,0,0,0,0,827,0,0
Meadow,14567,37984,843,647,18,128,0,0,0,0,0,0,172,0,0
Soft Winter Wheat,2729,197,28519,1327,843,704,0,0,0,0,0,0,1069,0,0
Corn,3340,1306,2872,20840,232,313,0,0,0,0,0,0,2622,0,0
Winter Barley,1142,280,3737,122,4673,610,0,0,0,0,0,0,1216,0,0
Winter Rapeseed,890,179,101,44,32,16071,0,0,0,0,0,0,11,0,0
Spring Barley,81,0,72,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower,810,0,60,36,0,1081,0,0,0,0,0,0,864,0,0
Winter Triticale,416,0,967,45,101,0,0,0,0,0,0,0,83,0,0
Winter Durum Wheat,39,1,86,8,0,167,0,0,0,0,0,0,5,0,0
Fruits/Vegetables/Flowers,679,1005,41,65,0,315,0,0,0,0,0,0,538,0,0
Leguminous Fodder,457,870,22,22,0,3,0,0,0,0,0,0,404,0,0
Soybeans,1853,81,151,971,5,31,0,0,0,0,0,0,10736,0,0
Mixed Cereal,297,5,1,8,0,46,0,0,0,0,0,0,317,0,0
Sorghum,6,653,0,0,0,0,0,0,0,0,0,0,6,0,0
