,precision,recall,f1-score,support,iou
Background,0.7464953487940287,0.8295984482687466,0.7858559993745052,96924.0,0.6472510665700195
Meadow,0.7322358021359447,0.6987619345462572,0.7151073583538072,54359.0,0.5565502791248873
Soft Winter Wheat,0.711924910756634,0.8058946535548773,0.7560009012949488,35388.0,0.6077182066142586
Corn,0.7784542975607934,0.6610626486915147,0.7149718677096198,31525.0,0.5563861597606374
Winter Barley,0.7781848459616986,0.3966893039049236,0.5254990160247399,11780.0,0.3563910921290753
Winter Rapeseed,0.7831489693484723,0.9274584487534626,0.8492166239530767,17328.0,0.7379465515654615
Spring Barley,0.0,0.0,0.0,153.0,0.0
Sunflower,0.0,0.0,0.0,2851.0,0.0
Winter Triticale,0.0,0.0,0.0,1612.0,0.0
Winter Durum Wheat,0.0,0.0,0.0,306.0,0.0
Fruits/Vegetables/Flowers,0.0,0.0,0.0,2643.0,0.0
Leguminous Fodder,0.0,0.0,0.0,1778.0,0.0
Soybeans,0.5689454160042395,0.7763957188313567,0.6566762493118845,13828.0,0.4888443675437169
Mixed Cereal,0.0,0.0,0.0,674.0,0.0
Sorghum,0.0,0.0,0.0,665.0,0.0
accuracy,0.7329681326201005,0.7329681326201005,0.7329681326201005,0.7329681326201005,0.7329681326201005
macro avg,0.33995930603745406,0.3397240771034093,0.33355520106817216,271814.0,
weighted avg,0.7081904966855489,0.7329681326201005,0.7148998912668797,271814.0,
