,precision,recall,f1-score,support,iou
Background,0.7039169741872444,0.7655688993438158,0.7334496409455512,96924.0,0.5790923635228018
Meadow,0.5784592846481287,0.7699736934086352,0.6606163437635639,54359.0,0.4932241338674884
Soft Winter Wheat,0.6885344931738553,0.644173166044987,0.6656155103947676,35388.0,0.49881838074387336
Corn,0.634300899427637,0.39371927042030136,0.4858591196445697,31525.0,0.32088105271313544
Winter Barley,0.6773063448812767,0.29541595925297115,0.4113961461165622,11780.0,0.25896710820043234
Winter Rapeseed,0.9009992111490929,0.7909741458910434,0.8424093423478796,17328.0,0.7277264521605991
Spring Barley,0.0,0.0,0.0,153.0,0.0
Sunflower,0.0,0.0,0.0,2851.0,0.0
Winter Triticale,0.0,0.0,0.0,1612.0,0.0
Winter Durum Wheat,0.0,0.0,0.0,306.0,0.0
Fruits/Vegetables/Flowers,0.0,0.0,0.0,2643.0,0.0
Leguminous Fodder,0.0,0.0,0.0,1778.0,0.0
Soybeans,0.4646668589558696,0.6990164882846399,0.55824429685244,13828.0,0.38719756449271464
Mixed Cereal,0.0,0.0,0.0,674.0,0.0
Sorghum,0.0,0.0,0.0,665.0,0.0
accuracy,0.6552900144952063,0.6552900144952063,0.6552900144952063,0.6552900144952063,0.6552900144952063
macro avg,0.30987893776154024,0.29058944150975957,0.29050602667102227,271814.0,
weighted avg,0.6403265025287125,0.6552900144952063,0.6365887889535784,271814.0,
