,Background,Meadow,Soft Winter Wheat,Corn,Winter Barley,Winter Rapeseed,Spring Barley,Sunflower,Winter Triticale,Winter Durum Wheat,Fruits/Vegetables/Flowers,Leguminous Fodder,Soybeans,Mixed Cereal,Sorghum
Background,65875,17512,3219,7641,44,1016,0,0,0,0,0,0,1617,0,0
Meadow,6734,42992,1395,2799,18,113,0,0,0,0,0,0,308,0,0
Soft Winter Wheat,1856,374,29499,2103,164,442,0,0,0,0,0,0,950,0,0
Corn,1080,694,6039,20354,50,305,0,0,0,0,0,0,3003,0,0
Winter Barley,514,328,7797,141,2088,357,0,0,0,0,0,0,555,0,0
Winter Rapeseed,423,384,815,137,251,15292,0,0,0,0,0,0,26,0,0
Spring Barley,57,0,0,1,57,32,0,0,0,0,0,0,6,0,0
Sunflower,217,0,104,17,0,964,0,0,0,0,0,0,1549,0,0
Winter Triticale,84,0,866,199,0,0,0,0,0,0,0,0,463,0,0
Winter Durum Wheat,6,0,74,2,0,221,0,0,0,0,0,0,3,0,0
Fruits/Vegetables/Flowers,439,1216,86,92,80,311,0,0,0,0,0,0,419,0,0
Leguminous Fodder,225,949,73,170,0,0,0,0,0,0,0,0,361,0,0
Soybeans,688,152,283,1424,1,175,0,0,0,0,0,0,11105,0,0
Mixed Cereal,7,4,5,39,0,42,0,0,0,0,0,0,577,0,0
Sorghum,17,92,196,359,1,0,0,0,0,0,0,0,0,0,0
