,precision,recall,f1-score,support,iou
Background,0.8421543811204009,0.6796562254962651,0.7522295684743014,96924.0,0.60285894702157
Meadow,0.6645130376988114,0.790890192976324,0.7222147560811719,54359.0,0.5652082456877675
Soft Winter Wheat,0.5847059523101623,0.8335876568328247,0.6873099640023765,35388.0,0.5235889243875536
Corn,0.5737076498111505,0.6456463124504361,0.6075548856021372,31525.0,0.4363223220218148
Winter Barley,0.7581699346405228,0.1772495755517827,0.28732626943718176,11780.0,0.16776474369261787
Winter Rapeseed,0.7935651271406331,0.8825023084025854,0.8356740805508498,17328.0,0.7177320942454155
Spring Barley,0.0,0.0,0.0,153.0,0.0
Sunflower,0.0,0.0,0.0,2851.0,0.0
Winter Triticale,0.0,0.0,0.0,1612.0,0.0
Winter Durum Wheat,0.0,0.0,0.0,306.0,0.0
Fruits/Vegetables/Flowers,0.0,0.0,0.0,2643.0,0.0
Leguminous Fodder,0.0,0.0,0.0,1778.0,0.0
Soybeans,0.5302740903447617,0.8030807058142898,0.638769053781996,13828.0,0.4692583984785678
Mixed Cereal,0.0,0.0,0.0,674.0,0.0
Sorghum,0.0,0.0,0.0,665.0,0.0
accuracy,0.6887246425864746,0.6887246425864746,0.6887246425864746,0.6887246425864746,0.6887246425864746
macro avg,0.31647267820442954,0.3208408651683005,0.30207190519533433,271814.0,
weighted avg,0.6862770564690472,0.6887246425864746,0.6708330909842601,271814.0,
