,Background,Meadow,Soft Winter Wheat,Corn,Winter Barley,Winter Rapeseed,Spring Barley,Sunflower,Winter Triticale,Winter Durum Wheat,Fruits/Vegetables/Flowers,Leguminous Fodder,Soybeans,Mixed Cereal,Sorghum
Background,81945,7802,1531,3215,124,850,0,0,0,0,0,0,1457,0,0
Meadow,20304,32485,404,935,29,77,0,0,0,0,0,0,125,0,0
Soft Winter Wheat,3666,531,27392,1814,451,399,0,0,0,0,0,0,1135,0,0
Corn,3162,910,2466,20896,318,111,0,0,0,0,0,0,3662,0,0
Winter Barley,901,294,6055,628,2838,100,0,0,0,0,0,0,964,0,0
Winter Rapeseed,1113,289,217,188,258,15214,0,0,0,0,0,0,49,0,0
Spring Barley,110,0,43,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower,402,0,18,11,0,295,0,0,0,0,0,0,2125,0,0
Winter Triticale,307,0,802,81,0,0,0,0,0,0,0,0,422,0,0
Winter Durum Wheat,51,0,240,15,0,0,0,0,0,0,0,0,0,0,0
Fruits/Vegetables/Flowers,411,1344,19,37,71,212,0,0,0,0,0,0,549,0,0
Leguminous Fodder,560,740,12,88,0,0,0,0,0,0,0,0,378,0,0
Soybeans,1030,60,60,1065,0,44,0,0,0,0,0,0,11569,0,0
Mixed Cereal,76,6,11,14,0,0,0,0,0,0,0,0,567,0,0
Sorghum,11,253,2,396,3,0,0,0,0,0,0,0,0,0,0
