,precision,recall,f1-score,support,iou
Background,0.718506957535796,0.8454562337501548,0.7768292625122646,96924.0,0.6350947081253189
Meadow,0.7265062396564834,0.5976011332070127,0.655779071997416,54359.0,0.48785066378319103
Soft Winter Wheat,0.6974943980444083,0.7740476997852379,0.733779801768015,35388.0,0.5795041042564569
Corn,0.7111595140046966,0.6628390166534497,0.686149602679451,31525.0,0.5222433270017689
Winter Barley,0.6935483870967742,0.24091680814940578,0.3576108870967742,11780.0,0.2177382231086253
Winter Rapeseed,0.8793203097907756,0.8780009233610342,0.8786601212821253,17328.0,0.7835805521215576
Spring Barley,0.0,0.0,0.0,153.0,0.0
Sunflower,0.0,0.0,0.0,2851.0,0.0
Winter Triticale,0.0,0.0,0.0,1612.0,0.0
Winter Durum Wheat,0.0,0.0,0.0,306.0,0.0
Fruits/Vegetables/Flowers,0.0,0.0,0.0,2643.0,0.0
Leguminous Fodder,0.0,0.0,0.0,1778.0,0.0
Soybeans,0.5029562646726372,0.8366358113971651,0.6282378495791474,13828.0,0.45797870234731086
Mixed Cereal,0.0,0.0,0.0,674.0,0.0
Sorghum,0.0,0.0,0.0,665.0,0.0
accuracy,0.7076125585878579,0.7076125585878579,0.7076125585878579,0.7076125585878579,0.7076125585878579
macro avg,0.3286328047201047,0.3223665084202307,0.3144697731276795,271814.0,
weighted avg,0.6864867079202235,0.7076125585878579,0.6867347218297791,271814.0,
